Model,efficientnet,efficientnet_quantized,efficientnet_greyscale,efficientnet_greyscale_quantized,mobilenet,mobilenet_quantized,mobilenet_greyscale,mobilenet_greyscale_quantized,resnet50,resnet50_quantized,resnet50_greyscale,resnet50_greyscale_quantized,yolov11,yolov11_quantized,yolov11_greyscale,yolov11_greyscale_quantized
Avg Idle (W),3.61,3.65,3.61,3.66,3.69,3.62,3.62,3.63,3.62,3.63,3.62,3.66,3.67,3.65,3.62,3.6
Activation 1,7.24,6.64,7.42,6.52,6.95,6.71,7.24,6.54,7.29,6.84,7.01,6.72,7.34,6.88,6.85,6.71
Activation 2,7.26,6.78,6.82,6.73,7.2,6.88,6.97,6.73,7.41,7.12,7.32,7.18,7.12,7.14,6.72,6.88
Activation 3,7.06,7.12,6.43,6.91,7.03,7.12,6.46,6.88,7.8,7.36,6.95,6.95,7.45,7.32,6.91,7.12
Activation 4,7.08,6.93,6.21,6.64,6.94,6.93,6.94,6.67,6.84,6.91,7.48,7.22,7.01,6.95,6.63,6.95
Activation 5,7.22,7.47,6.38,7.12,6.76,7.27,5.95,7.04,7.75,7.27,6.87,6.84,7.29,7.28,6.78,7.03
Activation 6,7.01,7.08,7.14,6.78,7.1,6.84,6.73,6.79,7.76,7.18,7.2,7.07,7.18,7.09,6.87,6.84
Activation 7,7.34,6.71,6.98,6.57,6.78,6.69,5.98,6.61,7.07,6.73,7.1,6.91,7.56,6.79,6.59,6.67
Activation 8,7.39,7.36,6.22,6.95,7.47,7.18,7.19,6.92,6.94,7.41,7.43,7.31,7.03,7.41,6.96,7.18
Activation 9,6.98,6.89,6.49,6.69,7.57,6.91,6.55,6.75,7.12,7.09,6.77,6.88,7.22,7.05,6.8,6.92
Activation 10,6.92,7.22,6.57,6.84,6.7,7.05,6.39,6.83,7.3,7.24,7.05,7.12,7.48,7.21,6.74,6.99
Activation 11,7.11,7.41,6.64,7.21,7.32,7.33,6.17,7.11,7.61,7.33,7.26,7.29,7.09,7.33,6.88,7.05
Activation 12,7.15,6.67,7.22,6.58,6.92,6.74,6.93,6.58,7.41,6.87,6.88,6.76,7.36,6.91,6.66,6.79
Activation 13,7.4,7.09,7.93,6.72,6.98,6.97,6.45,6.69,8.23,7.15,7.12,7.04,7.17,7.16,6.82,6.87
Activation 14,7.38,6.82,6.33,6.93,7.52,7.08,6.62,6.97,6.9,7.48,7.41,7.16,7.27,7.44,6.95,7.1
Activation 15,7.29,7.55,6.89,6.61,6.23,6.82,5.8,6.63,7.06,6.95,6.99,6.99,7.41,6.97,6.7,6.74
Activation 16,7.14,6.98,7.01,7.08,6.26,7.21,6.69,7.06,6.99,7.22,7.18,7.08,7.11,7.25,6.84,7.07
Activation 17,7.1,7.33,6.83,6.74,6.16,6.89,6.69,6.72,7.73,7.04,7.03,6.85,7.2,7.08,6.77,6.81
Activation 18,6.98,7.11,6.23,6.87,7.38,7.14,6.69,6.85,7.13,7.39,7.35,7.24,7.3,7.37,6.89,7.14
Activation 19,6.82,6.74,6.65,6.59,7.29,6.76,7.18,6.66,7.45,6.89,7.5,6.93,7.08,6.85,6.61,6.69
Activation 20,7.04,7.29,6.92,6.96,7.23,7.02,6.79,6.9,7.12,7.31,6.94,7.11,7.33,7.3,6.93,6.96
,,,,,,,,,,,,,,,,
Average activation Wattage:,7.1455,7.0595,6.7655,6.802,6.9895,6.977,6.6205,6.7965,7.3455,7.139,7.142,7.0325,7.25,7.139,6.795,6.9255
